住所,公示m2単価円,相続税路線価,地積m2,前面道路幅員m,建蔽率,容積率,交通距離m,lat,lon,位置精度,価格時点年,坪単価万円,用途地域,最寄交通施設,周辺利用状況
浜松市中央区篠原町字與久1794番2,41500.0,33000.0,198.0,4.0,60.0,200.0,7700.0,34.68391,137.6642,exact,2026,13.7,白地地域（都市計画区域内未指定）,浜松,一般住宅を中心に小工場等も見られる住宅地域
浜松市中央区紺屋町308番4,139000.0,110000.0,312.0,7.0,80.0,500.0,1100.0,34.707516,137.726334,exact,2026,46.0,第一種住居地域,浜松,事務所、マンション等が混在する商業地域
浜松市中央区舘山寺町字阿原2031番9,45150.0,0.0,224.0,10.0,80.0,400.0,15000.0,34.760361,137.620331,exact,2026,14.9,第一種住居地域,浜松,土産物店、飲食店等が建ち並ぶ観光商業地域
浜松市中央区舞阪町浜田164番2外,33150.0,27000.0,179.0,4.7,60.0,200.0,1300.0,34.682407,137.621399,exact,2026,11.0,白地地域（都市計画区域内未指定）,舞阪,一般住宅の中に空地等が見られる住宅地域
浜松市中央区舞阪町舞阪字十王16番2,27900.0,22000.0,191.0,4.0,60.0,200.0,800.0,34.687244,137.615387,exact,2026,9.2,白地地域（都市計画区域内未指定）,弁天島,一般住宅が多い漁港近くの既成住宅地域
浜松市中央区萩丘2-43-10,83100.0,62000.0,205.0,4.0,60.0,200.0,5500.0,34.749565,137.725739,exact,2026,27.5,白地地域（都市計画区域内未指定）,浜松,中規模の一般住宅が多い高台の既成住宅地域
浜松市中央区葵西5-20-40,78300.0,61000.0,148.0,5.3,60.0,200.0,9800.0,34.765339,137.714066,exact,2026,25.9,白地地域（都市計画区域内未指定）,浜松,中小規模の一般住宅が建ち並ぶ郊外の住宅地域
浜松市中央区蜆塚2-13-18,136000.0,105000.0,200.0,6.0,60.0,200.0,3000.0,34.712185,137.71283,exact,2026,45.0,工業専用地域,浜松,一般住宅が建ち並ぶ既成住宅地域
浜松市中央区鍛冶町320番18外,670000.0,510000.0,231.0,36.0,80.0,600.0,500.0,34.70425,137.731903,exact,2026,221.5,第一種住居地域,浜松,中高層ビル、小売店舗が建ち並ぶ中心的商業地域
浜松市中央区雄踏1-18-27,72700.0,58000.0,223.0,6.0,60.0,200.0,8700.0,34.693985,137.64592,exact,2026,24.0,工業専用地域,浜松,一般住宅等が建ち並ぶ区画整理済の住宅地域
浜松市中央区雄踏町宇布見字谷田600番158,55350.0,0.0,221.0,6.2,60.0,200.0,9800.0,34.702011,137.630325,exact,2026,18.3,指定なし（用途地域外）,浜松,住宅が建ち並ぶ高台の区画整然とした住宅地域
浜松市中央区雄踏町宇布見字領家4973番4,54200.0,43000.0,256.0,4.5,60.0,200.0,9600.0,34.702011,137.630325,exact,2026,17.9,特定用途制限地域など特例,浜松,中規模の一般住宅が多い既成住宅地域
浜松市中央区頭陀寺町字三丁目330番21,78500.0,62000.0,214.0,6.0,60.0,200.0,2700.0,34.69873,137.757996,exact,2026,26.0,白地地域（都市計画区域内未指定）,浜松,住宅の中に店舗が見られる区画整理済の住宅地域
浜松市中央区頭陀寺町字三丁目332番19外,73600.0,59000.0,1125.0,30.0,60.0,200.0,2600.0,34.69873,137.757996,exact,2026,24.3,白地地域（都市計画区域内未指定）,浜松,低層の店舗、一般住宅等が見られる路線商業地域
浜松市中央区馬郡町字新出来道4204番1外,39400.0,32000.0,224.0,5.1,60.0,200.0,700.0,34.686382,137.633194,exact,2026,13.0,白地地域（都市計画区域内未指定）,舞阪,住宅の中に農地等も見られる郊外の住宅地域
浜松市中央区高丘東1-9-37,66050.0,52000.0,1493.0,12.0,60.0,200.0,8300.0,34.755383,137.706955,exact,2026,21.8,準住居地域,浜松,中小工場、倉庫、住宅等が混在する工業地域
浜松市中央区高丘東5-1-26,71000.0,70000.0,13320.0,18.0,60.0,200.0,8100.0,34.755383,137.706955,exact,2026,23.5,白地地域（都市計画区域内未指定）,浜松,住宅団地内の幹線道路沿いの商業地域
浜松市中央区高丘西3-52-21,92250.0,73000.0,382.0,28.0,80.0,200.0,8700.0,34.756447,137.702484,exact,2026,30.5,第二種中高層住居専用地域,浜松,低層の店舗、営業所等が混在する路線商業地域
浜松市中央区高丘西4-7-19,60700.0,47000.0,16551.0,12.0,60.0,200.0,10000.0,34.756447,137.702484,exact,2026,20.1,田園住居地域,浜松,物流関連施設が建ち並ぶ流通業務地域
浜松市中央区高塚町1788番6外,37250.0,29000.0,2244.0,7.0,60.0,200.0,6200.0,34.690266,137.681183,exact,2026,12.3,準住居地域,浜松,中小規模の工場のほかに住宅も見られる工業地域
浜松市中央区高塚町181番1,71300.0,57000.0,223.0,5.4,60.0,200.0,6200.0,34.690266,137.681183,exact,2026,23.6,白地地域（都市計画区域内未指定）,浜松,一般住宅に駐車場等が見られる既成住宅地域
浜松市中央区鴨江1-10-3,119000.0,92000.0,185.0,12.0,80.0,300.0,1400.0,34.702599,137.720932,exact,2026,39.3,第二種中高層住居専用地域,浜松,小規模店舗、住宅等が混在する既成商業地域
浜松市中央区鴨江2-35-37,97200.0,77000.0,149.0,5.5,60.0,200.0,2000.0,34.702599,137.720932,exact,2026,32.1,工業専用地域,浜松,小規模住宅のほかに店舗等が混在する住宅地域
浜松市中央区鴨江4-34-16,88850.0,71000.0,155.0,4.0,60.0,200.0,1800.0,34.702599,137.720932,exact,2026,29.4,工業専用地域,浜松,中小規模の一般住宅が建ち並ぶ既成住宅地域
浜松市中央区鶴見町字堤東1210番38,51350.0,0.0,243.0,9.0,60.0,200.0,5300.0,34.710228,137.793259,exact,2026,17.0,白地地域（都市計画区域内未指定）,浜松,一般住宅が建ち並ぶ卸売市場近くの住宅地域
浜松市中央区龍禅寺町字龍ケ崎592番,79200.0,62000.0,218.0,6.0,60.0,200.0,1500.0,34.696106,137.740295,exact,2026,26.2,都市計画区域外,浜松,一般住宅の中に事業所等が見られる既成住宅地域
浜松市天竜区二俣町二俣字和田1985番外,38100.0,0.0,310.0,6.0,60.0,200.0,350.0,34.864529,137.815796,exact,2026,12.6,都市計画区域外,二俣本町,一般住宅が建ち並ぶ既成住宅地域
浜松市天竜区二俣町二俣字城下1490番,39150.0,0.0,165.0,14.9,80.0,200.0,250.0,34.864529,137.815796,exact,2026,12.9,第二種中高層住居専用地域,二俣本町,店舗、営業所等が見られる国道沿いの商業地域
浜松市天竜区山東字上市場4254番2,33850.0,0.0,195.0,8.0,60.0,200.0,1600.0,34.896603,137.834045,exact,2026,11.2,白地地域（都市計画区域内未指定）,二俣本町,中規模一般住宅の中に空地も見られる住宅地域
浜松市天竜区船明字扇田2520番20,19550.0,0.0,190.0,5.0,60.0,150.0,3000.0,34.890594,137.819458,exact,2026,6.5,工業専用地域,二俣本町,中規模一般住宅が多い郊外の住宅地域
浜松市浜名区三ヶ日町三ヶ日字浜崎578番5外,36250.0,0.0,183.0,6.5,60.0,150.0,600.0,34.80666,137.548767,exact,2026,12.0,特定用途制限地域など特例,三ヶ日,一般住宅の中に空地が見られる閑静な住宅地域
浜松市浜名区三ヶ日町都筑字紺屋門2154番6,25400.0,0.0,175.0,4.5,60.0,150.0,400.0,34.790768,137.580826,exact,2026,8.4,工業専用地域,都筑,一般住宅、農家住宅等が混在する住宅地域
浜松市浜名区中条710番6,70650.0,56000.0,142.0,5.0,60.0,200.0,700.0,34.783016,137.782608,exact,2026,23.4,白地地域（都市計画区域内未指定）,遠州小松,一般住宅の中に空地等が見られる住宅地域
浜松市浜名区中瀬字大平7136番139外,57000.0,0.0,2455.0,22.0,60.0,200.0,770.0,34.828583,137.816498,exact,2026,18.8,白地地域（都市計画区域内未指定）,西鹿島,店舗のほか一般住宅等も見られる郊外の商業地域
浜松市浜名区中瀬字大平7185番9,58700.0,0.0,204.0,5.0,60.0,200.0,500.0,34.828583,137.816498,exact,2026,19.4,白地地域（都市計画区域内未指定）,西鹿島,一般住宅が多い郊外の区画整然とした住宅地域
浜松市浜名区中瀬字大平7776番5外,30300.0,0.0,52863.0,10.0,60.0,200.0,1200.0,34.828583,137.816498,exact,2026,10.0,第二種住居地域,西鹿島,大中規模の工場が建ち並ぶ内陸型工業地域
浜松市浜名区小松417番,81700.0,64000.0,233.0,7.0,60.0,150.0,650.0,34.788467,137.772018,exact,2026,27.0,特定用途制限地域など特例,遠州小松,中規模一般住宅が多い既成住宅地域
浜松市浜名区平口483番,41500.0,0.0,344.0,5.3,60.0,200.0,2500.0,34.799557,137.761536,exact,2026,13.7,指定なし（用途地域外）,浜北,一般住宅のほかに農地等が見られる住宅地域
浜松市浜名区引佐町井伊谷字田中2550番9,39750.0,0.0,202.0,6.0,60.0,200.0,2300.0,34.83419,137.675262,exact,2026,13.1,白地地域（都市計画区域内未指定）,金指,中規模一般住宅の中に空地等も見られる住宅地域
浜松市浜名区引佐町横尾字六地蔵前875番5,20100.0,0.0,472.0,8.0,60.0,200.0,4200.0,34.836216,137.660309,exact,2026,6.6,指定なし（用途地域外）,金指,一般住宅、農家住宅、店舗が混在する住宅地域
浜松市浜名区引佐町金指字東金指1029番6,43700.0,0.0,133.0,6.5,60.0,100.0,160.0,34.823235,137.680649,exact,2026,14.4,工業専用地域,金指,一般住宅等が建ち並ぶ利便性の良い既成住宅地域
浜松市浜名区新都田2-3-6,67850.0,54000.0,238.0,6.0,60.0,200.0,13000.0,34.821564,137.731094,exact,2026,22.4,工業専用地域,浜松,一般住宅が建ち並ぶ区画整然とした住宅地域
浜松市浜名区新都田4-4-3,36300.0,28000.0,13998.0,15.0,60.0,200.0,14000.0,34.821564,137.731094,exact,2026,12.0,第二種住居地域,浜松,中規模の工場が建ち並ぶ街区整然とした工業団地
浜松市浜名区於呂字立丁1982番2外,46500.0,0.0,365.0,7.0,60.0,200.0,500.0,34.836628,137.798691,exact,2026,15.4,指定なし（用途地域外）,遠州岩水寺,一般住宅、農家住宅等が混在する郊外の住宅地域
浜松市浜名区本沢合164番1,84200.0,67000.0,268.0,16.0,60.0,200.0,500.0,34.81216,137.799057,exact,2026,27.8,その他,遠州小林,郊外型の低層店舗事務所が建ち並ぶ路線商業地域
浜松市浜名区東美薗1324番2外,46600.0,0.0,195.0,4.6,60.0,200.0,1500.0,34.796207,137.803513,exact,2026,15.4,指定なし（用途地域外）,遠州小林,戸建住宅を中心に農地が多く見られる住宅地域
浜松市浜名区染地台4-6-25,75350.0,0.0,246.0,6.0,50.0,100.0,3700.0,34.784172,137.744492,exact,2026,24.9,準工業地域,遠州小松,一般住宅が建ち並ぶ新しく開発された住宅地域
浜松市浜名区横須賀字川原1384番2,78000.0,61000.0,223.0,4.5,60.0,150.0,480.0,34.788834,137.787369,exact,2026,25.8,工業専用地域,浜北,中規模住宅等の多い利便性の良い住宅地域
浜松市浜名区細江町中川字不動平7172番1520,41000.0,0.0,324.0,5.5,60.0,200.0,3800.0,34.806942,137.678391,exact,2026,13.6,指定なし（用途地域外）,気賀,農家住宅と畑地等が混在する台地上の住宅地域
浜松市浜名区細江町中川字川久保4911番14外,33700.0,0.0,230.0,4.0,60.0,150.0,1700.0,34.806942,137.678391,exact,2026,11.1,特定用途制限地域など特例,気賀,一般住宅の中に農地等が見られる既成住宅地域
浜松市浜名区細江町広岡字外平83番1,35200.0,0.0,216.0,5.0,60.0,100.0,1600.0,34.810371,137.65979,exact,2026,11.6,準工業地域,気賀,一般住宅の中に農地が見られる住宅地域
浜松市浜名区細江町気賀字上気賀853番2外,30800.0,0.0,267.0,4.0,60.0,150.0,700.0,34.802845,137.632553,exact,2026,10.2,特定用途制限地域など特例,気賀,一般住宅が密集する既成住宅地域
浜松市浜名区西中瀬2-6-19,70600.0,0.0,302.0,6.0,50.0,150.0,1200.0,34.821514,137.809357,exact,2026,23.3,工業専用地域,遠州芝本,一般住宅が増えつつある区画整然とした住宅地域
浜松市浜名区貴布祢字川田103番11外,91750.0,73000.0,252.0,17.0,80.0,400.0,200.0,34.795467,137.782883,exact,2026,30.3,第一種住居地域,浜北,中低層の店舗併用住宅を中心とする商業地域
浜松市浜名区都田町字前原8017番6,47650.0,0.0,260.0,8.0,60.0,200.0,13000.0,34.822887,137.726944,exact,2026,15.8,指定なし（用途地域外）,浜松,一般住宅、農地等が見られる台地上の住宅地域
